Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
31-03-2018 22:01:00,6929.4,6942.1,6929.4,6942.1,5.51312461,38219.895791,6932.5289187
31-03-2018 22:02:00,6935.99,6935.99,6935.99,6935.99,0.02427915,168.39994161,6935.99
31-03-2018 22:03:00,6935.98,6935.99,6935.98,6935.99,0.11906618,825.84102562,6935.9832122
31-03-2018 22:04:00,6935.99,6935.99,6935.99,6935.99,0.01168103,81.01950727,6935.99
31-03-2018 22:05:00,6925.1,6935.99,6925.1,6925.1,0.03126163,216.65749294,6930.4605337
31-03-2018 22:06:00,6929.1,6935.99,6924.0,6935.99,0.68636967,4756.9757921,6930.6322817
31-03-2018 22:07:00,6935.99,6935.99,6924.03,6930.64,1.7083717,11840.712506,6930.9931242
31-03-2018 22:08:00,6924.31,6933.52,6924.31,6933.21,0.07426943,514.76335975,6931.0261268
31-03-2018 22:09:00,6923.22,6923.22,6916.14,6919.16,0.02435297,168.52737344,6920.1979651
31-03-2018 22:10:00,6928.53,6934.56,6928.53,6930.09,0.86242757,5978.6562851,6932.3575603
31-03-2018 22:11:00,6923.73,6937.32,6923.44,6937.32,120.75845878,837054.88952,6931.6460145
31-03-2018 22:12:00,6930.83,6932.39,6915.42,6916.11,0.22368491,1550.3876817,6931.1232561
31-03-2018 22:13:00,6915.24,6928.12,6907.04,6907.04,0.05511608,380.82917223,6909.5837771
31-03-2018 22:14:00,6900.0,6927.99,6900.0,6910.34,5.74504883,39782.228122,6924.6109649
31-03-2018 22:15:00,6910.22,6927.95,6909.13,6926.37,4.14930422,28703.829948,6917.7453438
31-03-2018 22:16:00,6926.11,6926.11,6914.92,6922.12,0.07278912,503.74674282,6920.632408
31-03-2018 22:17:00,6922.12,6928.99,6914.0,6928.99,0.5873815,4065.2801386,6921.0217527
31-03-2018 22:18:00,6928.99,6935.99,6927.43,6935.99,2.41042079,16716.515813,6935.1027348
31-03-2018 22:19:00,6930.02,6935.99,6930.02,6935.99,0.16470083,1142.1529445,6934.7127426
31-03-2018 22:20:00,6935.99,6956.58,6932.99,6950.0,15.02592607,104320.4821,6942.699013
31-03-2018 22:21:00,6950.0,6956.55,6939.31,6947.55,0.38072546,2646.9041274,6952.2645726
31-03-2018 22:22:00,6949.06,6957.37,6940.1,6940.1,0.20472954,1422.8380366,6949.8423949
31-03-2018 22:23:00,6944.32,6957.35,6941.84,6944.7,1.91303574,13300.952803,6952.7989074
31-03-2018 22:24:00,6954.97,6959.98,6938.6,6939.65,0.08942499,621.40418663,6948.8874042
31-03-2018 22:25:00,6939.65,6948.6,6935.99,6946.3,0.89913243,6238.7713816,6938.6568357
31-03-2018 22:26:00,6935.99,6939.0,6932.9,6933.16,2.14426627,14871.121459,6935.2960811
31-03-2018 22:27:00,6935.99,6936.04,6930.02,6931.54,2.22674444,15439.608795,6933.713864
31-03-2018 22:28:00,6931.63,6938.9,6930.02,6930.02,0.6735171,4672.9732831,6938.1657617
31-03-2018 22:29:00,6935.99,6935.99,6935.8,6935.8,0.04155716,288.23255,6935.8096173
31-03-2018 22:30:00,6930.03,6935.8,6930.03,6935.8,0.06109677,423.69840497,6934.8740526
31-03-2018 22:31:00,6935.8,6935.8,6935.8,6935.8,0.04158241,288.40727928,6935.8
31-03-2018 22:32:00,6935.8,6935.8,6935.8,6935.8,0.10306887,714.86506855,6935.8
31-03-2018 22:33:00,6934.24,6938.9,6932.2,6935.99,1.66821727,11567.419218,6934.0004006
31-03-2018 22:34:00,6935.99,6939.0,6932.2,6936.12,7.52539416,52204.785893,6937.1497071
31-03-2018 22:35:00,6939.0,6956.88,6934.43,6938.06,11.10883799,77096.599729,6940.1137903
31-03-2018 22:36:00,6938.06,6963.88,6936.83,6960.0,1.05524607,7345.0092232,6960.4705784
31-03-2018 22:37:00,6960.0,6964.01,6960.0,6962.0,0.33909317,2360.8696295,6962.3036921
31-03-2018 22:38:00,6962.0,6981.41,6950.18,6964.01,16.09867256,112142.15012,6965.9252777
31-03-2018 22:39:00,6964.01,6981.42,6964.01,6980.0,4.31971162,30154.57954,6980.6927388
31-03-2018 22:40:00,6980.0,6981.42,6980.0,6980.0,23.01145064,160622.29084,6980.1027911
31-03-2018 22:41:00,6980.0,6981.38,6971.62,6971.62,25.75164005,179608.83121,6974.6560164
31-03-2018 22:42:00,6971.62,6972.85,6971.62,6971.62,22.43035553,156375.95459,6971.6217554
31-03-2018 22:43:00,6971.62,6979.94,6971.62,6971.62,1.77429145,12372.457041,6973.1819095
31-03-2018 22:44:00,6971.62,6979.93,6971.62,6971.62,23.31030671,162511.37117,6971.6530627
31-03-2018 22:45:00,6971.62,6975.96,6971.62,6971.62,42.2508744,294557.5098,6971.6310959
31-03-2018 22:46:00,6971.62,6974.51,6950.03,6970.92,30.52082621,212775.66141,6971.4908748
31-03-2018 22:47:00,6958.61,6959.97,6950.01,6958.88,5.63993424,39215.791303,6953.235558
31-03-2018 22:48:00,6958.88,6964.95,6956.78,6956.78,0.26856937,1869.2305673,6959.9543956
31-03-2018 22:49:00,6956.78,6960.66,6956.78,6956.78,0.91001596,6332.1479701,6958.2823252
31-03-2018 22:50:00,6961.36,6961.36,6956.78,6961.0,0.76524349,5326.0205239,6959.9030811
31-03-2018 22:51:00,6961.0,6961.36,6948.17,6948.17,0.58201728,4046.1087356,6951.8704592
31-03-2018 22:52:00,6961.36,6962.6,6960.99,6962.6,0.57264657,3986.796389,6962.0540799
31-03-2018 22:53:00,6961.99,6968.51,6961.9,6968.51,0.2058987,1434.2955353,6966.0252118
31-03-2018 22:54:00,6972.67,6972.67,6961.99,6969.58,4.45407284,31042.144103,6969.3840262
31-03-2018 22:55:00,6961.9,6961.9,6958.25,6958.25,0.46669603,3247.9057435,6959.3601288
31-03-2018 22:56:00,6961.99,6961.99,6961.29,6961.29,0.03111426,216.61282805,6961.8505485
31-03-2018 22:57:00,6961.99,6961.99,6961.29,6961.29,0.75397985,5248.7082999,6961.3376271
31-03-2018 22:58:00,6960.99,6961.0,6960.99,6961.0,0.008623,60.024668523,6960.9960018
31-03-2018 22:59:00,6960.28,6960.28,6950.99,6950.99,0.1948065,1354.5934009,6953.5328695
31-03-2018 23:00:00,6960.97,6960.98,6945.81,6950.67,2.64177938,18360.380896,6950.005377
31-03-2018 23:01:00,6960.99,6961.0,6951.43,6951.43,14.20444533,98870.200655,6960.5111891
31-03-2018 23:02:00,6960.98,6960.98,6960.98,6960.98,1.31628658,9162.6445576,6960.98
31-03-2018 23:03:00,6960.97,6961.0,6942.52,6943.48,11.9912169,83415.705725,6956.4003738
31-03-2018 23:04:00,6949.77,6960.87,6949.77,6960.87,0.57110734,3972.7952394,6956.302189
31-03-2018 23:05:00,6949.77,6961.0,6949.77,6949.8,0.09444902,657.21405812,6958.399972
31-03-2018 23:06:00,6960.17,6960.17,6951.32,6951.32,0.73855067,5135.1038467,6952.9472455
31-03-2018 23:07:00,6949.77,6951.37,6942.52,6942.52,3.79344911,26346.082435,6945.1524643
31-03-2018 23:08:00,6944.61,6949.98,6938.28,6941.6,0.27226921,1890.6978003,6944.2218614
31-03-2018 23:09:00,6938.5,6949.96,6934.58,6934.63,4.73613526,32870.974611,6940.4636495
31-03-2018 23:10:00,6940.07,6940.07,6930.0,6930.0,3.92202576,27186.018281,6931.6266503
